version,baseline,commit,measurement_index,energy_cores_consumption,energy_pkg_consumption
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,9,0.92,0.93
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,10,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,11,0.79,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,12,0.78,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,13,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,14,0.78,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,15,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,16,0.78,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,17,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,18,0.77,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,19,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,20,0.78,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,21,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,22,0.78,0.78
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,23,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,24,0.78,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,25,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,26,0.78,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,27,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,28,0.77,0.8
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,29,0.77,0.79
refactored,true,759eba45b547c7fae89f09ab9059399aebc89da9,30,0.78,0.79
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,1,0.61,0.63
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,2,0.57,0.59
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,3,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,4,0.57,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,5,0.57,0.59
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,6,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,7,0.58,0.59
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,8,0.58,0.60
